feature,importance
lat,0.1467983891870698
p50_NDMI,0.07102039670939707
lon,0.05736539451444406
p50_BSI,0.0567783411420229
Elev,0.056210755322033346
p50_RED_SWIR1_RATIO,0.05518967792788349
p50_SWIR1_SWIR2_RATIO,0.05355608557201914
p50_MNDWI,0.053539404564263766
p50_B11,0.04802879327180624
p50_NDWI,0.04613036222574897
p50_SWIR1,0.0433621151152643
p50_B02,0.04273462341780575
p50_NDVI,0.03946080760729876
p50_B03,0.03373792533549194
p50_B08,0.031549218734592835
p50_SWIR2,0.029500973801886387
p50_B12,0.029122658883399363
p50_RED,0.028867993250930084
p50_B04,0.027624262644392626
p50_ALBEDO_PROXY,0.025184912782925183
p50_BRIGHT,0.024236907989324014
