fold,r2,rmse,mae
1,0.21095406799894545,11.736116413923757,8.90659976880282
2,0.39552224527967705,9.189925701160375,6.9977607799559385
3,0.3466219447685699,10.194342844037903,8.263228769242465
4,0.25624478279947027,9.672936324543153,7.55361737908844
5,0.3569505535581299,9.71254584942704,7.802247637441947
