target,cv_type,n_splits,n_samples,n_features,cv_r2_mean,cv_r2_std,cv_rmse_mean,cv_rmse_std,cv_mae_mean,cv_mae_std,model,config,cv_mode
Silt,RandomKFold,5,1100,21,0.3134333754663251,0.0692869880204142,10.098536403255494,0.866930958177478,7.898224074832994,0.6333488637734711,rf,n800_leaf2_sqrt,random
Silt,RandomKFold,5,1100,21,0.31325871888095846,0.0685655883577649,10.101173426618445,0.8770986191507897,7.904690866906323,0.646318848067822,rf,n800_leaf4_log2,random
Silt,RandomKFold,5,1100,21,0.3127389181837828,0.07034386860897608,10.102288725650723,0.8593608694658231,7.914425,0.6260275863888755,rf,n1200_leaf1_sqrt,random
Silt,RandomKFold,5,1100,21,0.24568318023830088,0.09150074331364914,10.564657914842458,0.7749576746483938,8.32009678221876,0.5422072159346788,hgb,lr0.05_iter800,random
Silt,RandomKFold,5,1100,21,0.24529341809602725,0.08583764286061712,10.572220199760372,0.7911770381855655,8.321846784849376,0.5332137347694044,hgb,lr0.03_iter1200,random
Silt,RandomKFold,5,1100,21,0.22260150933062067,0.05900946467357316,10.756050248596036,0.9019003784746951,8.398092842623033,0.5915966068548487,enet,a0.05_l10.5,random
Silt,RandomKFold,5,1100,21,0.22007884860207608,0.05538133861498293,10.773342111399106,0.8768719977649738,8.41331409360913,0.582867360727705,enet,a0.01_l10.2,random
Silt,SpatialGroupKFold,5,1100,21,0.3085979580311272,0.038450157118135105,10.160769020446011,0.49089785809129893,7.955833317221449,0.25264526200411563,rf,n800_leaf4_log2,spatial
Silt,SpatialGroupKFold,5,1100,21,0.30478020422584706,0.03771367093232303,10.188832550320283,0.4853922836954029,7.979913452065612,0.24760282849727527,rf,n800_leaf2_sqrt,spatial
Silt,SpatialGroupKFold,5,1100,21,0.3039405096408011,0.03734192027849821,10.195080985600118,0.483870795175367,7.981973484848486,0.23441298674102187,rf,n1200_leaf1_sqrt,spatial
Silt,SpatialGroupKFold,5,1100,21,0.22767443813460594,0.01507896061714901,10.739521854871825,0.3529917700911563,8.319804634117181,0.25105227952518544,hgb,lr0.03_iter1200,spatial
Silt,SpatialGroupKFold,5,1100,21,0.21602033331729426,0.019340304084011654,10.819627594556616,0.3564466370372313,8.386719105649913,0.22682586363879417,hgb,lr0.05_iter800,spatial
Silt,SpatialGroupKFold,5,1100,21,0.20827452182966083,0.023845969730131932,10.871742963780166,0.3481061043789093,8.482081002394096,0.16525586103562995,enet,a0.05_l10.5,spatial
Silt,SpatialGroupKFold,5,1100,21,0.20500550195518247,0.026024150033946244,10.893778300391862,0.3505781206774513,8.505794274122314,0.17727714903464592,enet,a0.01_l10.2,spatial
