fold,r2,rmse,mae
1,0.2339241003621313,10.694408239055715,8.491916821996702
2,0.22700289569718257,11.287973034340213,8.798968704448178
3,0.11194250297534047,12.75543580078531,10.006713511761141
4,0.09541212621399786,12.839794299165636,9.679703051546948
5,0.1888007498481209,10.953969241477257,8.532228031975462
