feature,importance
lon,0.12370817956570451
Elev,0.0921120480865627
lat,0.08614865301975864
p50_SWIR1_SWIR2_RATIO,0.046489730459903726
p50_NDWI,0.04283811499984445
p50_NDVI,0.04085706291322532
p50_B12,0.040631772176174336
p50_B02,0.03927305720947377
p50_SWIR2,0.0390868194445133
p50_NDMI,0.03897474173521443
p50_ALBEDO_PROXY,0.038136211023596614
p50_BSI,0.038040327647525324
p50_B08,0.037933384952449
p50_SWIR1,0.037350973960058265
p50_BRIGHT,0.037131179615536324
p50_RED_SWIR1_RATIO,0.03707730000164067
p50_B03,0.03706189278839808
p50_B11,0.037056592424439164
p50_RED,0.03681923181441781
p50_B04,0.036729416292553045
p50_MNDWI,0.036543309869010485
