feature,importance
lon,0.13196454698004184
Elev,0.09543684039963858
lat,0.08682853118205434
p50_SWIR1_SWIR2_RATIO,0.045313764532110314
p50_NDWI,0.042677874541177274
p50_B12,0.03976491577845008
p50_NDVI,0.03926376704835961
p50_B02,0.03876162547683294
p50_SWIR2,0.038162715186431606
p50_NDMI,0.03791357511933233
p50_BSI,0.03758524830816758
p50_BRIGHT,0.03753216362782521
p50_ALBEDO_PROXY,0.03731807572126829
p50_B04,0.03716355931707574
p50_B08,0.03705427907626637
p50_B03,0.03664292661029211
p50_RED_SWIR1_RATIO,0.036417926652003975
p50_B11,0.036358533761331344
p50_RED,0.03619764173562393
p50_MNDWI,0.03612298900122741
p50_SWIR1,0.03551849994448918
