target,cv_type,n_splits,n_samples,n_features,cv_r2_mean,cv_r2_std,cv_rmse_mean,cv_rmse_std,cv_mae_mean,cv_mae_std,model,config,cv_mode
Coarse,RandomKFold,5,1100,21,0.1908505347521387,0.03803694091435773,11.556019586559554,1.0478315088755492,8.988863184539577,0.6341720382600919,rf,n800_leaf2_sqrt,random
Coarse,RandomKFold,5,1100,21,0.18990683867637595,0.03567722620285015,11.563753503942593,1.0527553494251225,8.997723440755202,0.6509106181015322,rf,n800_leaf4_log2,random
Coarse,RandomKFold,5,1100,21,0.18867365619025997,0.03827125914487046,11.572521630424223,1.062065084655952,9.008637121212121,0.6390748715488146,rf,n1200_leaf1_sqrt,random
Coarse,RandomKFold,5,1100,21,0.11477000984429082,0.04295076497369456,12.07706813378793,0.9882472842346001,9.211612249802268,0.5322262615843087,hgb,lr0.03_iter1200,random
Coarse,RandomKFold,5,1100,21,0.10904350599422004,0.04149282254873384,12.106969155827603,0.8701143834341878,9.256609209028909,0.42431047204833244,hgb,lr0.05_iter800,random
Coarse,RandomKFold,5,1100,21,0.10399658376658485,0.031700858688070876,12.15537419879561,1.0143526039680015,9.493290327579398,0.6449108810118598,enet,a0.05_l10.5,random
Coarse,RandomKFold,5,1100,21,0.09920131562862904,0.034231223789315646,12.188179334993062,1.0275711121912936,9.521973362266692,0.6571906609648918,enet,a0.01_l10.2,random
Coarse,SpatialGroupKFold,5,1100,21,0.1747948489571891,0.05520041255175223,11.682670990889369,0.8979606887309111,9.06929478799925,0.6045008736007476,rf,n800_leaf2_sqrt,spatial
Coarse,SpatialGroupKFold,5,1100,21,0.1714164750193546,0.057642138733926214,11.706316122964825,0.9110893709966259,9.101906024345686,0.6230436350185578,rf,n800_leaf4_log2,spatial
Coarse,SpatialGroupKFold,5,1100,21,0.16920988713167134,0.05394962650279886,11.722184312781746,0.8915245208430812,9.09740606060606,0.6184113153704345,rf,n1200_leaf1_sqrt,spatial
Coarse,SpatialGroupKFold,5,1100,21,0.10601777792209766,0.05548905801687611,12.160211311979488,0.9140088228190978,9.492437771782278,0.6816951537964856,enet,a0.05_l10.5,spatial
Coarse,SpatialGroupKFold,5,1100,21,0.10167006984094629,0.05771505182318517,12.189426957546434,0.9236571928037886,9.51507421967424,0.6885467277917965,enet,a0.01_l10.2,spatial
Coarse,SpatialGroupKFold,5,1100,21,0.0857518976939405,0.061505064550513286,12.286775079681002,0.8068426118584041,9.380913620656695,0.4636340968242904,hgb,lr0.03_iter1200,spatial
Coarse,SpatialGroupKFold,5,1100,21,0.08229768060248435,0.058119222738708905,12.309283005834912,0.7727353021591892,9.409082994981953,0.44722849175536744,hgb,lr0.05_iter800,spatial
