seed_id,lat,lon,min_obs_baresoil,n_pixels,n_pixels_with_min_obs,B02_median_bs_space_median,B02_median_bs_space_mean,B02_median_bs_space_std,B02_mean_bs_space_median,B02_mean_bs_space_mean,B02_mean_bs_space_std,B02_std_bs_space_median,B02_std_bs_space_mean,B02_std_bs_space_std,B03_median_bs_space_median,B03_median_bs_space_mean,B03_median_bs_space_std,B03_mean_bs_space_median,B03_mean_bs_space_mean,B03_mean_bs_space_std,B03_std_bs_space_median,B03_std_bs_space_mean,B03_std_bs_space_std,B04_median_bs_space_median,B04_median_bs_space_mean,B04_median_bs_space_std,B04_mean_bs_space_median,B04_mean_bs_space_mean,B04_mean_bs_space_std,B04_std_bs_space_median,B04_std_bs_space_mean,B04_std_bs_space_std,B08_median_bs_space_median,B08_median_bs_space_mean,B08_median_bs_space_std,B08_mean_bs_space_median,B08_mean_bs_space_mean,B08_mean_bs_space_std,B08_std_bs_space_median,B08_std_bs_space_mean,B08_std_bs_space_std,B11_median_bs_space_median,B11_median_bs_space_mean,B11_median_bs_space_std,B11_mean_bs_space_median,B11_mean_bs_space_mean,B11_mean_bs_space_std,B11_std_bs_space_median,B11_std_bs_space_mean,B11_std_bs_space_std,B12_median_bs_space_median,B12_median_bs_space_mean,B12_median_bs_space_std,B12_mean_bs_space_median,B12_mean_bs_space_mean,B12_mean_bs_space_std,B12_std_bs_space_median,B12_std_bs_space_mean,B12_std_bs_space_std,NDVI_median_bs_space_median,NDVI_median_bs_space_mean,NDVI_median_bs_space_std,NDVI_mean_bs_space_median,NDVI_mean_bs_space_mean,NDVI_mean_bs_space_std,NDVI_std_bs_space_median,NDVI_std_bs_space_mean,NDVI_std_bs_space_std,NDMI_median_bs_space_median,NDMI_median_bs_space_mean,NDMI_median_bs_space_std,NDMI_mean_bs_space_median,NDMI_mean_bs_space_mean,NDMI_mean_bs_space_std,NDMI_std_bs_space_median,NDMI_std_bs_space_mean,NDMI_std_bs_space_std,NDWI_median_bs_space_median,NDWI_median_bs_space_mean,NDWI_median_bs_space_std,NDWI_mean_bs_space_median,NDWI_mean_bs_space_mean,NDWI_mean_bs_space_std,NDWI_std_bs_space_median,NDWI_std_bs_space_mean,NDWI_std_bs_space_std,NBR_median_bs_space_median,NBR_median_bs_space_mean,NBR_median_bs_space_std,NBR_mean_bs_space_median,NBR_mean_bs_space_mean,NBR_mean_bs_space_std,NBR_std_bs_space_median,NBR_std_bs_space_mean,NBR_std_bs_space_std,MSAVI_median_bs_space_median,MSAVI_median_bs_space_mean,MSAVI_median_bs_space_std,MSAVI_mean_bs_space_median,MSAVI_mean_bs_space_mean,MSAVI_mean_bs_space_std,MSAVI_std_bs_space_median,MSAVI_std_bs_space_mean,MSAVI_std_bs_space_std,EVI_median_bs_space_median,EVI_median_bs_space_mean,EVI_median_bs_space_std,EVI_mean_bs_space_median,EVI_mean_bs_space_mean,EVI_mean_bs_space_std,EVI_std_bs_space_median,EVI_std_bs_space_mean,EVI_std_bs_space_std,ndvi_threshold,ts_root,feat_root,start_date,end_date,features_prefix
45542620,46.65041528,13.04170233,2,9,9,0.37800000607967377,0.3793444484472275,0.010889251798891187,0.37800000607967377,0.3793444484472275,0.010889251798891187,0.09248957318321652,0.09828783923191417,0.015722599667741203,0.37060000002384186,0.36978888677226174,0.008060113423796637,0.37060000002384186,0.36978888677226174,0.008060113423796637,0.07806458247269622,0.07924310201672419,0.013413425891876775,0.35660000145435333,0.35695555806159973,0.008414289229241203,0.35660000145435333,0.35695555806159973,0.008414289229241203,0.06420530783631341,0.06238253859042268,0.013221771389028258,0.455499991774559,0.4550499982304043,0.0082865318360642,0.455499991774559,0.4550499982304043,0.0082865318360642,0.05451793899978143,0.057786335783629496,0.012808405160309741,0.31005000323057175,0.3140222256382306,0.006359254572227952,0.31005000323057175,0.3140222256382306,0.006359254572227952,0.1086823186241171,0.11208428111238776,0.009974497577892137,0.2972000017762184,0.3017944453491105,0.008308546414763309,0.2972000017762184,0.3017944453491105,0.008308546414763309,0.09305525764721762,0.09879853610755804,0.011823462227698483,0.12476257234811783,0.12273485213518143,0.007229758892208338,0.12476257234811783,0.12273485213518143,0.007229758892208338,0.02812799997627735,0.02404319867491722,0.00907388236373663,0.1889975219964981,0.1915731579065323,0.006815958768129349,0.1889975219964981,0.1915731579065323,0.006815958768129349,0.23659111559391022,0.23450687527656555,0.01038057915866375,-0.10841468721628189,-0.10716952383518219,0.005002311896532774,-0.10841468721628189,-0.10716952383518219,0.005002311896532774,0.04487496241927147,0.04402945563197136,0.006698744371533394,0.20922258496284485,0.208424374461174,0.008556148037314415,0.20922258496284485,0.208424374461174,0.008556148037314415,0.2187601774930954,0.2181439995765686,0.013333986513316631,0.11125946044921875,0.10945270955562592,0.005841579753905535,0.11125946044921875,0.10945270955562592,0.005841579753905535,0.01408332772552967,0.013516518287360668,0.005613427609205246,0.35512763261795044,0.35575249791145325,0.04044489935040474,0.35512763261795044,0.35575249791145325,0.04044489935040474,0.12505675852298737,0.1260518729686737,0.019297201186418533,0.2,\tmp\sentinel_soil\45542620__661c842a\intermediate\point_45542620\grid_3x3_res10m\survey_2018-11-06_pm15d,\tmp\sentinel_soil\45542620__661c842a\features\45542620,2018-10-23,2018-11-17,soil-sentinel/features/45542620__661c842a/
45962662,47.01118125,13.6150654,2,9,9,1.007200002670288,1.00755555762185,0.007333197393502467,0.8910666704177856,0.8921777826768379,0.0074664034791248595,0.23980334682462326,0.23971015230547243,0.015035300664105284,0.9056000113487244,0.9071111149258084,0.0030038610132195396,0.8234666585922241,0.8215111118775827,0.005780510662388885,0.20488801160276124,0.2093430680897201,0.01673251796239528,0.8568000197410583,0.8564444449212816,0.00196361819955752,0.7927999893824259,0.790503700574239,0.006741441981827093,0.1908600835097361,0.1913762047823717,0.017031783970353518,0.8151999711990356,0.8159111142158508,0.004761993628355596,0.7529333233833313,0.7537629648491188,0.004937444056123369,0.17092891161418575,0.17112797730400456,0.010940815628999043,0.4909000098705292,0.4836888975567288,0.01882990768564161,0.4383999953667323,0.4371999965773689,0.005772347492567977,0.19473213928995,0.1948706883435223,0.0010970011496207774,0.45899999141693115,0.4503999915387895,0.014335270867135451,0.39613333344459534,0.39347777653623506,0.005150714613644758,0.12246736111232975,0.12135202033241058,0.0018605064972672988,-0.025370992720127106,-0.02551422268152237,0.003174359677359462,-0.022513017058372498,-0.022334368899464607,0.0041166264563798904,0.008256174623966217,0.010363204404711723,0.006062476430088282,0.18878507614135742,0.1885252594947815,0.0014709230745211244,0.2762334644794464,0.27726608514785767,0.003736485494300723,0.25784456729888916,0.2597618103027344,0.004751069936901331,0.04905335232615471,0.04776716232299805,0.0035292471293359995,0.03992906212806702,0.040211524814367294,0.002613506745547056,0.017537932842969894,0.018091870471835136,0.004830530378967524,0.3002949655056,0.300898939371109,0.0021604534704238176,0.31244906783103943,0.3114219903945923,0.003931329119950533,0.20657454431056976,0.20814040303230286,0.005257565062493086,-0.031871676445007324,-0.03171136602759361,0.0039905644953250885,-0.02834606170654297,-0.027733061462640762,0.004397375974804163,0.01258067972958088,0.014176396653056145,0.00680297939106822,0.17702080309391022,0.18459875881671906,0.05170324072241783,0.1720869541168213,0.16022470593452454,0.048993997275829315,0.24482208490371704,0.2350587546825409,0.05285356193780899,0.2,\tmp\sentinel_soil\45962662__49dab0fd\intermediate\point_45962662\grid_3x3_res10m\survey_2018-05-14_pm15d,\tmp\sentinel_soil\45962662__49dab0fd\features\45962662,2018-04-29,2018-05-26,soil-sentinel/features/45962662__49dab0fd/
47202790,48.09323732,15.35904016,2,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,\tmp\sentinel_soil\47202790__03d2af76\intermediate\point_47202790\grid_3x3_res10m\survey_2018-05-16_pm15d,\tmp\sentinel_soil\47202790__03d2af76\features\47202790,2018-05-06,2018-05-31,soil-sentinel/features/47202790__03d2af76/
47662810,48.24079034,15.99581379,2,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,\tmp\sentinel_soil\47662810__b0dd3227\intermediate\point_47662810\grid_3x3_res10m\survey_2018-05-27_pm15d,\tmp\sentinel_soil\47662810__b0dd3227\features\47662810,2018-05-13,2018-06-10,soil-sentinel/features/47662810__b0dd3227/
