feature,importance
lat,0.0923714379613098
lon,0.08570313934663444
p50_BSI,0.0677257456197617
p50_MNDWI,0.05793497506967218
p50_NDWI,0.05722854404848372
p50_RED_SWIR1_RATIO,0.05711484764940675
p50_NDVI,0.05597511255145531
p50_SWIR1_SWIR2_RATIO,0.05500298568743966
p50_NDMI,0.05445182772962708
Elev,0.05259349501908097
p50_B02,0.05047229502575912
p50_B03,0.04149334021671762
p50_B11,0.03488263376505383
p50_SWIR1,0.033997085828095394
p50_SWIR2,0.03138391119776532
p50_B08,0.03062438202457669
p50_B12,0.029848396716666184
p50_ALBEDO_PROXY,0.028285446726314927
p50_RED,0.02796435759857705
p50_B04,0.027601548945966895
p50_BRIGHT,0.027344491271635244
