feature,importance
lat,0.10193970681097628
lon,0.09569498116724852
p50_BSI,0.07617963087661427
p50_NDWI,0.06077705574721105
p50_MNDWI,0.05944345905270029
p50_NDMI,0.059328571522686814
p50_RED_SWIR1_RATIO,0.059274990902582696
p50_NDVI,0.05336018417202761
p50_SWIR1_SWIR2_RATIO,0.053223712724744125
p50_B02,0.05290968656392383
Elev,0.05036564547236719
p50_B03,0.040207747452161983
p50_B11,0.030133403453651914
p50_SWIR1,0.02995369356948755
p50_SWIR2,0.027258671051438598
p50_B08,0.02687067293622124
p50_RED,0.02554256501163583
p50_B12,0.025273258119664715
p50_B04,0.024530044534320918
p50_ALBEDO_PROXY,0.023961774185068663
p50_BRIGHT,0.023770544673265944
