target,cv_type,n_splits,n_samples,n_features,cv_r2_mean,cv_r2_std,cv_rmse_mean,cv_rmse_std,cv_mae_mean,cv_mae_std,model,config,cv_mode
Clay,RandomKFold,5,1100,21,0.35136425516825964,0.05188515880793175,9.37722509203606,0.5028039472800654,7.338568181818182,0.5077549209632506,rf,n1200_leaf1_sqrt,random
Clay,RandomKFold,5,1100,21,0.3510588381970673,0.051289138582750284,9.38022443419935,0.5124959925776122,7.344286209081322,0.5125556664934237,rf,n800_leaf2_sqrt,random
Clay,RandomKFold,5,1100,21,0.34506934062797934,0.047425300823803584,9.425944227736341,0.5203873775284442,7.377864764569123,0.5159425627003901,rf,n800_leaf4_log2,random
Clay,RandomKFold,5,1100,21,0.3252837906348308,0.10572998757771128,9.518199026008796,0.5005276660641246,7.3629278972811365,0.4681806270942903,hgb,lr0.05_iter800,random
Clay,RandomKFold,5,1100,21,0.32396222160086496,0.10524585624967903,9.532313952267023,0.5577419856488414,7.369732222871869,0.511220885806669,hgb,lr0.03_iter1200,random
Clay,RandomKFold,5,1100,21,0.2234853827905138,0.023874894927629606,10.278098019437534,0.6310948243631747,8.154715845878972,0.6022522472376974,enet,a0.05_l10.5,random
Clay,RandomKFold,5,1100,21,0.22187072613374914,0.027104299830598932,10.289463794419309,0.6551431774409996,8.15682264457114,0.6168417742063076,enet,a0.01_l10.2,random
Clay,SpatialGroupKFold,5,1100,21,0.32886093853605647,0.03720900903278119,9.567816018225106,0.4174157727972717,7.455337121212122,0.42848696630970146,rf,n1200_leaf1_sqrt,spatial
Clay,SpatialGroupKFold,5,1100,21,0.3284833006548137,0.0340871522733625,9.572051832757595,0.42734807153619025,7.476608782495913,0.4444890835688333,rf,n800_leaf2_sqrt,spatial
Clay,SpatialGroupKFold,5,1100,21,0.32561531796454596,0.03691720944653982,9.592521237283176,0.449509697972439,7.480798871524636,0.4690650560750736,rf,n800_leaf4_log2,spatial
Clay,SpatialGroupKFold,5,1100,21,0.31382007228583914,0.054761215152084874,9.663359704992509,0.35681313396299835,7.507686520814841,0.3503028989303383,hgb,lr0.03_iter1200,spatial
Clay,SpatialGroupKFold,5,1100,21,0.3090497044680472,0.05398985868779285,9.699118459281229,0.39982519446084136,7.555055555031673,0.41523964165667054,hgb,lr0.05_iter800,spatial
Clay,SpatialGroupKFold,5,1100,21,0.22545965328571754,0.05689869932439415,10.26803768725521,0.35895727189431237,8.146601371401625,0.3871154795955191,enet,a0.05_l10.5,spatial
Clay,SpatialGroupKFold,5,1100,21,0.2239130884712349,0.0609418366211331,10.276172710618605,0.3576322024974127,8.143314343388706,0.38213105823715093,enet,a0.01_l10.2,spatial
