fold,r2,rmse,mae
1,0.1589238564358849,16.249718548228792,13.456400272549788
2,0.16113583468460857,16.58921775471153,14.04452322422079
3,0.07954485164428082,16.757770117917023,13.20904847983139
4,0.15068227373333576,14.90740256633251,12.162774544521847
5,0.17567363193556906,16.596966095269472,13.040745869536217
