target,cv_type,n_splits,n_samples,n_features,cv_r2_mean,cv_r2_std,cv_rmse_mean,cv_rmse_std,cv_mae_mean,cv_mae_std,model,config,cv_mode
Sand,RandomKFold,5,1100,21,0.1562122217134576,0.055954325671561334,16.04752969269237,1.0010357392711906,13.078640909090911,0.6661802931487834,rf,n1200_leaf1_sqrt,random
Sand,RandomKFold,5,1100,21,0.1558473098571796,0.057269371101369794,16.050369814362284,1.0035877963411108,13.085528400141524,0.6904643626710576,rf,n800_leaf2_sqrt,random
Sand,RandomKFold,5,1100,21,0.14939841600116976,0.05045039851608409,16.1162530130504,1.015357850867293,13.155033924955735,0.7070076391847441,rf,n800_leaf4_log2,random
Sand,RandomKFold,5,1100,21,0.10176603377107296,0.10960245601649872,16.518818837970304,1.1207976853274224,13.10922335659463,0.8540781833363367,hgb,lr0.03_iter1200,random
Sand,RandomKFold,5,1100,21,0.09676872454691607,0.11308782952167988,16.561405093040065,1.1080935633378608,13.187935188417729,0.8889034599558129,hgb,lr0.05_iter800,random
Sand,RandomKFold,5,1100,21,0.017970479050631826,0.026094155556333008,17.342755067913924,1.2943699367873795,14.169472703551966,0.823394839954091,enet,a0.05_l10.5,random
Sand,RandomKFold,5,1100,21,0.014991888042529178,0.025669748023573025,17.36923312161278,1.2970234833227996,14.201126483470972,0.8182397649268175,enet,a0.01_l10.2,random
Sand,SpatialGroupKFold,5,1100,21,0.15023268330083456,0.03277879124465796,16.17109793911696,0.6401791733902708,13.131298484848482,0.5926153850822085,rf,n1200_leaf1_sqrt,spatial
Sand,SpatialGroupKFold,5,1100,21,0.14862640453736173,0.03345649496143075,16.18712692384682,0.6632256710267314,13.146132381977239,0.6032906983614444,rf,n800_leaf2_sqrt,spatial
Sand,SpatialGroupKFold,5,1100,21,0.14519208968673583,0.03379819765592812,16.220215016491863,0.6769663021037718,13.182698478132005,0.6129835660547576,rf,n800_leaf4_log2,spatial
Sand,SpatialGroupKFold,5,1100,21,0.08597426644890231,0.07431387731335906,16.76500934160215,0.9948296941351205,13.336103189095905,0.9500449222373426,hgb,lr0.05_iter800,spatial
Sand,SpatialGroupKFold,5,1100,21,0.08378034174218008,0.06787328617748062,16.783656717139415,0.8931398684925985,13.364300804983804,0.9069883301621058,hgb,lr0.03_iter1200,spatial
Sand,SpatialGroupKFold,5,1100,21,0.01725637169540788,0.029233237033978954,17.390416799386607,0.6324017820432357,14.210281392315974,0.3560292100178557,enet,a0.05_l10.5,spatial
Sand,SpatialGroupKFold,5,1100,21,0.01435571107233129,0.029113708093000477,17.416821030188615,0.6515937831282398,14.238893553618087,0.36449798800502475,enet,a0.01_l10.2,spatial
