feature,importance
lat,0.10552948757339722
lon,0.1014409207984404
Elev,0.0722243644675124
p50_SWIR1_SWIR2_RATIO,0.05591353035717492
p50_NDVI,0.05161494172471155
p50_NDWI,0.044898815730123554
p50_BSI,0.04359068603678708
p50_SWIR1,0.0419154361796195
p50_B11,0.04173560534903621
p50_SWIR2,0.04171601132197329
p50_RED_SWIR1_RATIO,0.04092193441648411
p50_B12,0.04018803353403754
p50_B02,0.04018633146427017
p50_NDMI,0.038370326452100596
p50_MNDWI,0.037890121167412916
p50_B03,0.03699234707760011
p50_B08,0.035230026620135725
p50_B04,0.03309634904034413
p50_RED,0.032897108167084535
p50_BRIGHT,0.03204754209014899
p50_ALBEDO_PROXY,0.03160008043160509
